unit_id,task_id,domain,dimension,task_title_short,gold_dimension_value,label_gpt4o,conf_gpt4o,reason_gpt4o,label_claude,conf_claude,reason_claude,proxy_final_label,adjudication_needed,adjudicator_label,adjudicator_note
BZ01_how_feel,BZ01,business,how_feel,分析国内新能源汽车行业的竞争格局,报告应保持客观、专业且深入的风格，确保数据分析的准确性和权威性；同时，语言表达清晰易懂，便于不同背景的读者理解；整体上要传达出对行业发展的积极展望，激发读者对未来市场的信心。,mixed,2,"The general need for a professional, objective, and clear tone in business reports is inferable, but the specific emphasis on conveying an optimistic outlook and inspiring confidence is user-specific.",mixed,2,"While professional objectivity and clarity are standard for business analysis reports, the specific requirement for 'positive outlook' and 'inspiring confidence' reflects particular editorial preferences not clearly inferable from the task alone.",mixed,False,,
BZ01_how_much,BZ01,business,how_much,分析国内新能源汽车行业的竞争格局,预计项目周期为3个月，预算总额为50万元人民币，其中数据采购费用10万、人力成本20万、调研及差旅费用10万、报告制作及发布费用10万；团队规模为6人，包括2名高级分析师、2名助理分析师、1名项目经理和1名行政支持人员。,private,3,"The specific budget breakdown, project duration, and team composition are user-specific details that cannot be reasonably inferred from the task title, goal, or domain context alone.",private,3,"The specific budget amounts, timeline, team composition, and cost breakdown are highly dependent on the client's resources, scope requirements, and organizational constraints that cannot be inferred from the general task description.",private,False,,
BZ01_how_to_do,BZ01,business,how_to_do,分析国内新能源汽车行业的竞争格局,通过收集和分析公开财报、行业报告、新闻报道等多渠道的数据；运用SWOT分析法评估各企业的优势、劣势、机会与威胁；结合波特五力模型分析行业的竞争态势；最后，形成一份详细的竞争格局报告。,mixed,2,"The general methods like using SWOT analysis, Porter’s Five Forces, and analyzing public data are inferable, but the specific combination and emphasis on these methods reflect user-specific preferences.",public,2,"Standard business analysis methodology (SWOT, Porter's Five Forces, multi-source data collection) is conventional for competitive landscape studies in any industry.",mixed,False,,
BZ01_when,BZ01,business,when,分析国内新能源汽车行业的竞争格局,当前中国正大力推动绿色能源转型，新能源汽车作为关键领域，正处于快速发展阶段；因此，分析的时间点应选择在最新的市场数据发布之后，以确保信息的时效性。,mixed,2,"The need for timely analysis based on the latest market data is generally inferable, but the specific emphasis on China's green energy transition and its impact on the timing carries user-specific details.",public,2,"Business analysis tasks conventionally require current/recent data for relevance, and the emphasis on China's green energy transition timing is inferable from the domestic new energy vehicle focus.",mixed,False,,
BZ01_where,BZ01,business,where,分析国内新能源汽车行业的竞争格局,主要聚焦于中国市场，特别是新能源汽车产业较为发达的地区，如上海、北京、广州等一线城市；同时考虑国际市场的对比分析，以便更好地理解全球竞争格局。,mixed,2,"The focus on the Chinese market is inferable from the task title and goal, but the specific emphasis on certain cities and the inclusion of international comparisons are user-specific details.",mixed,2,"While focusing on China's domestic market is clearly inferable from '国内新能源汽车行业', the specific cities mentioned and the inclusion of international comparison are user-specific details not clearly derivable from the task alone.",mixed,False,,
BZ01_who,BZ01,business,who,分析国内新能源汽车行业的竞争格局,新能源汽车制造商（如比亚迪、蔚来等）、零部件供应商、行业分析师、政府相关部门（如工信部、发改委）、投资者以及消费者。,mixed,2,"The general categories of stakeholders like manufacturers, suppliers, and government entities are inferable, but specific examples such as '比亚迪' and '蔚来' depend on user-specific details.",public,2,The stakeholders in a competitive landscape analysis of China's new energy vehicle industry are standard and predictable based on industry conventions.,mixed,False,,
BZ01_why,BZ01,business,why,分析国内新能源汽车行业的竞争格局,深入了解国内新能源汽车行业的主要竞争者及其市场策略，为相关企业和投资者提供决策支持；同时，帮助政府和行业协会制定更有效的政策和标准。,mixed,2,"The general purpose of providing decision support for businesses and investors is inferable, but the inclusion of government and industry associations is user-specific and not clearly predictable.",mixed,2,"The core purpose for enterprises and investors is clearly inferable from the task goal, but the additional mention of government and industry associations represents specific stakeholder expansion not explicitly indicated in the original task description.",mixed,False,,
BZ02_how_feel,BZ02,business,how_feel,为一家中型制造企业制定AI应用落地规划,专业严谨但富有创新精神，注重实际效果和用户体验，强调合作与共赢,mixed,2,"The general tone of professionalism and focus on practical outcomes is inferable, but the emphasis on innovation, user experience, and collaboration includes user-specific preferences.",mixed,2,"While professional and innovation-focused tone is expected for AI implementation planning, the specific emphasis on collaboration and user experience reflects particular organizational values not clearly inferable from the basic task context.",mixed,False,,
BZ02_how_much,BZ02,business,how_much,为一家中型制造企业制定AI应用落地规划,总预算为500万元人民币，其中前期调研和规划100万，技术采购和定制开发200万，实施与培训100万，后期维护和支持100万；项目周期6个月，团队规模包括内部人员5人，外部专家顾问3人,private,3,"The specific budget allocation, project timeline, and team composition depend strongly on user-specific details and are not inferable from general context alone.",private,3,"Specific budget amounts, timeline, and team composition are highly dependent on the company's unique financial situation, scale, and internal resources.",private,False,,
BZ02_how_to_do,BZ02,business,how_to_do,为一家中型制造企业制定AI应用落地规划,首先进行需求分析和可行性研究，然后选择合适的AI技术和供应商，接着进行系统设计与开发，最后是部署、培训和持续优化；采用敏捷开发方法，确保快速迭代和反馈调整,mixed,2,"The general steps for implementing AI in a business context are inferable, but specific details like using agile development and the exact sequence of actions depend on user-specific preferences.",public,2,The implementation methodology follows standard AI project management practices that are well-established in business consulting and technology implementation.,mixed,False,,
