experiment,task_id,comparison,delta,ci_lower,ci_upper,cohens_d,sign_consistency,strength,notes
pilot,T05,C_vs_A,+0.527,+0.246,+0.816,1.73,2/2 primary,Strong,
pilot,T10,C_vs_A,+0.082,-0.012,+0.172,0.82,2/2 primary,Directional (CI spans 0),
pilot,T08,C_vs_A,+0.035,-0.156,+0.238,0.16,1/2 inconsistent,Weak,
expC,T10,WHY_PURPOSE_vs_WHY_BOTH,+0.121,+0.043,+0.203,1.39,2/2 primary,Strong,CI excludes zero
expC,T08,WHY_PURPOSE_vs_WHY_BOTH,+0.078,-0.062,+0.211,0.51,2/2 primary,Directional (CI spans 0),
expC,T08,WHY_AUDIENCE_vs_NO_WHY,-0.102,-0.281,+0.090,-0.50,2/2 negative,Harmful trend (CI spans 0),
expD,T08,STRICT_PLUS_vs_FULL_8,-0.453,-0.629,-0.270,-2.31,3/3 all models,Strongest,CI entirely below zero
expD,T08,STRICT_PLUS_vs_ELASTIC_3,-0.480,-0.684,-0.277,-2.18,3/3 all models,Strongest,
expD,T05,FULL_8_vs_ELASTIC_3,+0.137,0.000,+0.301,0.86,2/2 primary,Boundary-near positive,lower CI bound at zero
expD,O2,STRICT_PLUS_vs_FULL_8,+0.192,+0.012,+0.399,0.90,2/3 models,Moderate positive,
